player_id,match_id,minutes,M1,M2,M3,M4,M5,M6,M7,M8,M9,archetype
P001,SYN001,88,0.82,0.74,0.91,0.69,0.84,0.38,0.94,0.92,0.76,elite_creator
P002,SYN001,76,0.79,0.71,0.88,0.66,0.82,0.42,0.90,0.89,0.73,elite_creator
P003,SYN002,90,0.74,0.83,0.72,0.91,0.66,0.55,0.78,0.61,0.88,runner
P004,SYN002,84,0.69,0.86,0.68,0.88,0.61,0.58,0.73,0.57,0.91,runner
P005,SYN003,80,0.62,0.44,0.87,0.39,0.90,0.31,0.64,0.79,0.48,safe_receiver
P006,SYN003,72,0.59,0.41,0.84,0.36,0.88,0.27,0.60,0.76,0.45,safe_receiver
P007,SYN004,90,0.51,0.56,0.52,0.57,0.54,0.50,0.55,0.53,0.58,balanced
P008,SYN004,65,0.47,0.49,0.50,0.52,0.48,0.54,0.46,0.51,0.49,balanced
P009,SYN005,71,0.35,0.33,0.42,0.29,0.39,0.67,0.31,0.36,0.34,low_impact
P010,SYN005,62,0.28,0.26,0.34,0.24,0.32,0.72,0.27,0.29,0.25,low_impact
P011,SYN006,89,0.87,0.62,0.86,0.58,0.78,0.45,0.89,0.94,0.61,tempo_controller
P012,SYN006,77,0.84,0.57,0.82,0.53,0.75,0.48,0.85,0.91,0.56,tempo_controller
P013,SYN007,83,0.66,0.78,0.64,0.82,0.59,0.61,0.67,0.52,0.83,direct_runner
P014,SYN007,69,0.61,0.74,0.60,0.78,0.55,0.64,0.63,0.49,0.80,direct_runner
P015,SYN008,90,0.18,0.22,0.29,0.19,0.24,0.81,0.21,0.20,0.23,low_impact
P016,SYN008,55,0.24,0.28,0.31,0.27,0.30,0.76,0.25,0.26,0.29,low_impact
P017,SYN009,86,0.72,0.69,0.78,0.64,0.72,0.46,0.81,0.80,0.70,high_all_rounder
P018,SYN009,79,0.70,0.67,0.75,0.61,0.69,0.49,0.77,0.78,0.68,high_all_rounder
P019,SYN010,74,0.42,0.61,0.45,0.70,0.40,0.66,0.43,0.38,0.67,raw_runner
P020,SYN010,68,0.39,0.58,0.43,0.66,0.37,0.69,0.41,0.35,0.64,raw_runner
